69,69(体位)
breast_curtains,乳帘
breast_envy,胸围歧视
breast_expansion,丰胸
breast_hold,抱着胸部
breast_lift,托着胸部
breast_padding,胸垫
breast_pocket,乳袋
breast_poke,戳胸
breast_press,挤压胸部
breast_rest,搁着胸部
breast_slip,胸部走光
breast_squeeze,从两侧挤胸
breast_suppress,手放在乳房上方
breast_tattoo,胸部纹身
breastless_clothes,露胸的衣服
breastplate,胸甲
breasts,乳房
breasts_apart,向两侧摊开的乳房
breasts_on_glass,胸压玻璃
breasts_on_head,压在头上的乳房
breasts_outside,露出的乳房
breath,呼吸
breathing_fire,喷火
brick,砖
brick_wall,砖墙
bridal_gauntlets,婚纱手套
bridal_veil,婚纱头纱
bride,新娘
bridge,桥
briefcase,公文包
briefs,男式内裤
bright_pupils,明亮的瞳孔
broken,破碎的
broken_glass,碎玻璃
broken_horn,断角
broken_weapon,破碎的武器
brooch,胸针
broom,扫帚
broom_riding,骑扫帚
brother_and_sister,姐弟|兄妹
brothers,兄弟
brown_background,棕色背景
brown_belt,棕色皮带
brown_bikini,棕色比基尼
brown_bow,棕色蝴蝶结
brown_cape,棕色斗篷
brown_cardigan,棕色开襟衫
brown_coat,棕色外套
brown_dress,棕色连衣裙
brown_footwear,棕色鞋类
brown_gloves,棕色手套
brown_hairband,棕色发带
brown_headwear,棕色头饰
brown_jacket,棕色夹克
brown_kimono,棕色和服
brown_legwear,棕色的裤袜
brown_neckwear,棕色领饰
brown_panties,棕色内裤
brown_pants,棕色长裤
brown_ribbon,褐色丝带
brown_sailor_collar,棕色水手领
brown_scarf,棕色围巾
brown_shirt,棕色衬衫
brown_shorts,棕色短裤
brown_skirt,棕色短裙
brown_sweater,棕色毛衣
brown_theme,棕色主题
brown_vest,棕色马甲
brown-framed_eyewear,棕色镜框眼镜
bruce_lee's_jumpsuit,李小龙款连身衣
bruise,挫伤
brush,刷子
brushing_teeth,刷牙
bubble,泡泡
bubble_blowing,吹泡泡
bubble_skirt,蓬蓬裙
bubble_tea,珍珠奶茶
bubble_tea_challenge,不用手喝珍珠奶茶挑战
buck_teeth,龅牙
bucket,水桶
buckle,扣
budget_sarashi,绷带裹胸
bukkake,射满脸
bulge,裆部隆起
bullet,子弹
bullpup,牛犊式枪械
bullying,欺负
bun_cover,发髻盖
bunching_hair,手持辫子
bunny,兔子
bunny_costume,兔子服装
bunny_girl,兔娘|兔女郎
bunny_hair_ornament,兔子饰品
bunny_hood,兔耳帽
bunny_pose,兔耳pose
bunny_print,兔子图案
bunny_tail,兔尾巴
burn_scar,烧伤疤痕
burning,燃烧
burnt_clothes,烧焦的衣服
bursting_breasts,包不住的巨乳
buruma,女式灯笼裤
buruma_aside,内裤掰到一边
buruma_pull,褪下一部分的内裤
bus,公共汽车
bus_stop,公交站
bush,灌木
bustier,紧身胸衣
butler,管家
butt_crack,股沟
butt_plug,肛塞
butterfly,蝴蝶
butterfly_hair_ornament,蝴蝶发饰
butterfly_net,捕虫网
butterfly_print,蝴蝶印花
butterfly_sitting,蝴蝶坐
button_badge,纽扣徽章
button_eyes,纽扣式画法的眼睛
button_gap,天使的小窗
buttons,纽扣
cabbie_hat,报童帽
cabinet,储藏柜
cable,线缆
cactus,仙人掌
cafe,咖啡馆
cage,笼子
cake_slice,蛋糕块
calendar_(medium),日历
calendar_(object),图中有日历
calligraphy_brush,毛笔
calligraphy_brush_(medium),毛笔(中号)
camcorder,摄像机
camellia,山茶花
cameltoe,骆驼趾
cameo,精彩片段
camisole,无袖紧身背心
camouflage,迷彩
can,缶
candle,蜡烛
candlestand,烛台
candy,糖果
candy_apple,苹果糖
candy_cane,棒棒糖
cannon,炮
can't_be_this_cute,俺妹元素
canvas_(object),画布
capelet,披肩
capri_pants,七分裤
car,汽车
car_interior,汽车内饰
card,卡片
card_(medium),卡片(中号图)
card_parody,玩牌
cardboard_box,纸板箱
cardigan,开襟衫
caressing_testicles,爱抚睾丸
carpet,地毯
carrot,胡萝卜
carrot_hair_ornament,胡萝卜发饰
carrot_necklace,胡萝卜项链
carrying,抱起
carrying_over_shoulder,肩扛
carrying_under_arm,夹在腋下
cart,载货推车
cartridge,弹夹
casing_ejection,子弹抛壳
cast,包扎着绷带
castle,城堡
casual,私服
casual_one-piece_swimsuit,连体泳衣
cat,猫
cat_boy,猫系男子
cat_costume,猫系服装
cat_cutout,胸部开口出猫头剪影的服装
cat_day,猫之日
cat_ear_headphones,猫耳式耳机
cat_ear_panties,猫耳造型内裤
cat_girl,猫娘
cat_hair_ornament,猫系发饰
cat_hat,猫耳帽子
cat_hood,猫耳兜帽
cat_lingerie,猫系内衣
cat_on_head,头上趴着猫
cat_paws,猫爪
cat_print,猫元素印花
cat_tail,猫尾巴
cat_teaser,逗猫
catchphrase,标志性台词
caterpillar_tracks,履带
caught,被抓现行
caustics,焦散
caution_tape,警示带
cave,洞穴
cd,光碟
ceiling,天花板
ceiling_light,顶灯
cellphone,手机
cellphone_picture,手机相片
centaur,人马|马娘
center_frills,胸口带花边的服装
center_opening,正中间开口的服装
chain,锁链
chain_necklace,项链
chain-link_fence,铁网
chainsaw,链锯
chaldea_uniform,迦勒底制服
chalk,粉笔
chalkboard,黑板
champagne,香槟
champagne_flute,香槟杯
chandelier,吊灯
chaps,皮套裤
character_censor,用人脸打码
character_doll,角色公仔
character_name,含角色名
character_print,印着某角色
character_profile,角色简介
character_sheet,人设表
character_signature,含该角色的签名
charm_(object),强调角色魅力的
chart,图表
chasing,追逐
chat_log,聊天框风格
cheating,出轨
checkerboard_cookie,棋盘曲奇
checkered,方格图案
checkered_background,方格背景
checkered_floor,格子地板
checkered_kimono,格子和服
checkered_neckwear,格子领口
checkered_scarf,格子围巾
checkered_shirt,格子衬衫
checkered_skirt,格子裙
cheek_bulge,鼓着腮帮
cheek_pinching,捏脸颊
cheek_poking,戳脸颊
cheek_pull,扯脸颊
cheek-to-cheek,脸贴脸
cheering,助威
cheese,奶酪
chef,厨师
chef_hat,厨师帽
chef_uniform,厨师工装
chemise,女式无袖宽内衣
cherry,樱花|樱桃
cherry_blossom_print,樱花印花
chess_piece,棋子
chest,胸部
chest_hair,胸毛
chest_jewel,胸前有宝石
chest_of_drawers,抽屉
chest_tattoo,胸部有纹身
chestnut_mouth,栗子嘴
chewing_gum,口香糖
chibi_inset,内含Q版形象
chick,小鸡
chicken,鸡
chi-hatan_military_uniform,知波单学院制服
child,小孩
child_drawing,儿童画作
child_on_child,孩子们
chimney,烟囱
chin_grab,抬下巴
chin_rest,托着下巴
chin_strap,颐革
chin_stroking,摸下巴
china_dress,中国服饰
chinese_text,中文
chinese_zodiac,十二生肖
chips,薯片
chocolate,巧克力
chocolate_bar,巧克力板
chocolate_heart,心形巧克力
chocolate_on_breasts,胸上的巧克力
choker,项圈
choko_(cup),猪口杯
christmas_lights,圣诞彩灯
christmas_tree,圣诞树
chromatic_aberration,色差
church,教堂
cigar,雪茄
circle,圆圈
circle_cut,单行本概念预告图
circle_name,封绘署名
circlet,头冠
city,城市
city_lights,城市灯光背景
cityscape,城市背景
classroom,教室
claw_(weapon),爪(武器)
claw_pose,嘎哦
claws,爪
cleaning,打扫
cleavage_cutout,露出的乳沟
cleave_gag,被封住嘴
cleaver,砍肉刀
cleft_of_venus,蜜缝
clenched_hand,握紧的手
clenched_hands,紧握的双手
clenched_teeth,牙齿紧咬
cliff,悬崖
climbing,攀爬
clipboard,写字板
clitoral_hood,阴蒂包皮
clitoral_stimulation,玩弄阴蒂
clitoris_piercing,阴核环
cloak,斗篷
clock,时钟
clock_tower,钟楼
clone,克隆
closed_eyes,闭上的眼睛
closed_fan,折扇
closed_mouth,闭着的嘴
closed_umbrella,收着的伞
close-up,特写镜头
cloth,布
clothed_animal,有衣着的动物
clothed_female_nude_female,穿着衣服的女性和裸女
clothed_female_nude_male,穿着衣服的女性和裸男
clothed_male_nude_female,穿着衣服的男性和裸女
clothed_masturbation,着衣自慰
clothed_pokemon,有衣着的口袋妖怪
clothed_sex,着衣性交
clothes,衣服
clothes_around_waist,衣服系在腰上
clothes_between_breasts,衣服勒在乳沟里
clothes_between_thighs,衣物挂到大腿之间
clothes_down,褪下衣物
clothes_grab,扯着衣物
clothes_hanger,衣架
clothes_lift,掀起衣物
clothes_pull,拉开衣物
clothes_removed,脱下的衣服
clothes_theft,偷衣服
clothes_tug,拖拽衣服
clothes_writing,印着字的T恤
clothesline,晒衣服
cloud,云
cloud_hair,云絮状发型
cloud_print,云状印花
cloudy_sky,多云天气
clover,三叶草
clover_hair_ornament,三叶草发饰
club,棍棒
club_(shape),梅花(扑克)
coat,外套
coattails,燕尾
coca-cola,可口可乐
cockpit,外套
cocktail,鸡尾酒
cocktail_dress,(社交场合穿的)短裙
cocktail_glass,鸡尾酒杯
coffee,咖啡
coffee_cup,咖啡杯
coffee_mug,马克杯
coffin,棺材
coin,硬币
coke-bottle_glasses,厚如玻璃瓶底的圆眼镜
cold,寒冷的
collage,拼贴画
collared_blouse,翻领短衫
collared_dress,有领连衣裙
collared_jacket,翻领夹克
collared_shirt,翻领衬衫
color_connection,色彩关联
color_guide,色标卡
color_trace,原画
colored_eyelashes,彩色的睫毛
colored_inner_hair,内层挑染
colored_pencil_(medium),彩色铅笔画
colored_pubic_hair,阴毛颜色
colored_stripes,多彩条纹
column,柱子
column_lineup,立绘并列
comb,梳子
combat_boots,军用靴
come_hither,诱受
comforting,安慰
command_spell,令咒
company_connection,联动
company_name,有版权署名
comparison,对比图
competition_school_swimsuit,竞泳死库水
competition_swimsuit,赛用泳衣
computer,计算机
concept_art,概念艺术
condensation_trail,飞机云
condom,避孕套
condom_in_mouth,口叼避孕套
condom_on_penis,戴避孕套
condom_packet_strip,避孕套包装
condom_wrapper,避孕套包装
confession,表白
confetti,彩色纸屑(祝贺)
consensual_tentacles,非强行的触手侵犯
constellation,星座
constricted_pupils,收缩的瞳孔
contemporary,现代改编
contrapposto,对立式平衡
controller,控制器
convenience_store,便利店
convenient_arm,遮住关键部位的手臂
convenient_censoring,简单巧妙的打码
convenient_leg,挡住关键部位的腿
cookie,曲奇
cooking,烹饪
cooler,冷藏器
copyright,版权
copyright_name,版权署名
coral,珊瑚
corded_phone,有线电话
corn,玉米
corpse,尸体
corruption,恶堕|婊子化
corset,束腰
costume,服装
costume_switch,服饰互换
cotton_candy,棉花糖
couch,沙发
countdown,倒计时
counter,柜台
couple,情侣
cousins,表亲
cover,封面
cover_image,封面图片
cover_page,封面
covered_collarbone,有衣物裹住的锁骨
covered_eyes,蒙住的眼
covered_face,蒙脸
covered_mouth,蒙住的嘴
covered_navel,隐约入目的肚脐
covered_nipples,激凸的乳头|隐约可见的乳头
covering,遮盖的动作
covering_ass,遮着臀部
covering_breasts,遮着乳房
covering_crotch,遮着裆部
covering_eyes,遮住眼睛
covering_face,挡住脸
covering_mouth,挡住嘴巴
covering_nipples,挡住乳头
cow,牛
cow_ears,牛耳朵
cow_girl,牛娘
cow_horns,牛角
cow_print,奶牛系印花
cow_tail,牛尾
cowboy_boots,牛仔靴
cowboy_hat,牛仔帽
cowboy_shot,七分身镜头
crab,螃蟹
crack,裂痕
craft_essence,概念礼装
crane_(machine),起重机
crate,大木箱
cravat,男式领巾
crazy_eyes,坏掉的眼神
creator_connection,同个原作者的角色们的同人
creature,创造物
creature_and_personification,拟人化(含对比)
credits_page,书脊
crepe,可丽饼
crescent,月牙
crescent_earrings,月牙耳环
crescent_hair_ornament,月牙发饰
crescent_moon,新月
crescent_rose,新月玫瑰
criss-cross_halter,交叉吊带
crop_top,露腹短上衣
crop_top_overhang,乳帘
cropped_jacket,短夹克
cropped_legs,只画了一部分腿
cropped_shirt,短衬衫
cropped_torso,只画了一部分躯干
cropped_vest,小款背心
cross,十字
cross_earrings,十字耳环
cross_hair_ornament,十字发饰
cross_necklace,十字架项链
cross_print,十字架元素图案
crossbow,弩
crossdressing,(变装)女装
crossed_ankles,交叉脚踝
crossed_arms,交叉双臂
crossed_bangs,交叉的刘海
crossed_legs,交叉的腿
cross-laced_clothes,交叉花边服饰
cross-laced_footwear,交叉系带鞋
crossover,跨界作品
crosswalk,人行横道
crotch,胯部
crotch_plate,裆部有特别覆盖物
crotch_seam,裆部的缝
crotchless,开裆的
crotchless_panties,开档内裤
crow,乌鸦
crowd,人群
crown,王冠|皇冠
crown_braid,法式冠编发
crying,哭
crying_with_eyes_open,睁着眼落泪
crystal,矿石
crystal_ball,水晶球
crystal_earrings,水晶耳环
crystal_hair,水晶状的头发
cube,立方体
cucumber,黄瓜
cuddling,拥抱
cum,精液
cum_in_ass,肛门内射
cum_in_mouth,口内射精
cum_in_pussy,内射|中出
cum_on_ass,射在屁股上
cum_on_body,射在身上
cum_on_boy,射在男性身上
cum_on_breasts,射在胸上
cum_on_clothes,射在衣服上
cum_on_lower_body,射在下半身上
cum_on_pussy,射在阴部上
cum_on_self,射在自己身上
cum_on_stomach,射在嘴里
cum_on_tongue,射在舌头上
cum_on_upper_body,射在上半身
cum_pool,淌成一滩的精液
cum_string,拉丝的精液
cum_while_penetrated,射在后庭里
cumdrip,溢出的精液(已拔出)
cup,杯子
cup_ramen,杯面
cupcake,纸杯蛋糕
cupless_bra,高露出度胸罩
curled_horns,弯曲的角
curry,咖喱
curry_rice,咖喱饭
cursor,光标
curtains,窗帘
curtsey,(女子的)屈膝礼
curvy,展现魅力的姿势
cushion,坐垫
cute_&_girly_(idolmaster),cute&girly (偶像大师)
cutoffs,热裤
cuts,割伤
cutting_board,砧板
cutting_hair,剪头发
cyberpunk,赛博朋克
cyborg,赛博人类
cyclops,独眼巨人
cyrillic,斯拉夫文
daisy,雏菊
dakimakura_(object),抱枕(物体)
damaged,受损的
dancer,舞者
dancing,跳舞
dandelion,蒲公英
dangerous_beast,《危险的野兽》FGO礼装
dango,团子
danmaku,弹幕
dappled_sunlight,透过树叶洒下的阳光
dark_areolae,深色的乳晕
dark_aura,黑暗的光环|黑暗的气场
dark_blue_hair,深蓝色头发
dark_elf,暗精灵
dark_nipples,深色的乳头
dark_penis,深色的阴茎
dark_skin,褐色皮肤
darkness,黑暗
dated,付上日期的
day,白天
death,死
debris,碎片|残骸
debt,负债的
decepticon,霸天虎
deep_penetration,捅到子宫
deep_skin,角色的另一面(多指色情)
deer,鹿
defeat,败北
demon,恶魔
demon_boy,恶魔男孩
demon_girl,魅魔
demon_horns,恶魔的角
demon_tail,恶魔尾巴
demon_wings,恶魔翅膀
denim,牛仔布
denim_shorts,牛仔短裤
denim_skirt,牛仔裙
depth_of_field,景深(画法)
desert,沙漠
desk,书桌
desk_lamp,台灯
dessert,甜点
destruction,破坏
detached_collar,假领
detached_sleeves,分离袖子
detached_wings,不与本体相连的翅膀
diadem,冠饰
diagonal_bangs,斜刘海
diagonal_stripes,斜纹
diagonal-striped_neckwear,斜纹领结
diamond_(gemstone),钻石(宝石)
diamond_(shape),菱形(形状)
diamond_(symbol),菱形(符号)
dice,骰子
different_reflection,映出的另一面
diffraction_spikes,衍射十字星
digital_dissolve,化成数据般消失
digital_media_player,随身听
dimples_of_venus,女性的腰窝|维纳斯之眼
dinosaur,恐龙
dirndl,阿尔卑斯村姑裙
dirty,肮脏的
dirty_clothes,弄脏的衣服
dirty_face,弄脏的脸
dirty_feet,弄脏的脚
disembodied_head,分离的头
disembodied_limb,断肢
disembodied_penis,断掉的阴茎
disposable_cup,一次性纸杯
dissolving,溶解的
dissolving_clothes,溶解掉的衣服
diving,潜水
diving_mask,潜水面罩
diving_mask_on_head,头戴潜水面罩
dixie_cup_hat,狗盆帽
dock,船坞
doctor,医生
dog,狗
dog_collar,狗项圈
dog_girl,犬娘
dog_tags,狗牌
dog_tail,狗尾巴
doggystyle,后入式
doily,花边元素
doll,人偶|玩偶
doll_hug,抱着玩偶
doll_joints,玩偶球形关节
dolphin,海豚
dolphin_shorts,海豚短裤
dominatrix,女王(SM中)
domino_mask,SM面具
donation_box,募捐箱
"don't_say_""lazy""","《don't_say_""lazy""》"
door,门
dot_nose,小圆点鼻
dotted_line,虚线
double_bun,团子头
double_handjob,双手各握着一根阴茎
double_v,啊嘿颜比V
double_vertical_stripe,服饰上有两条平行条纹
double-breasted,双排纽扣
doughnut,甜甜圈
dougi,武道服
doujin_cover,同人封面
doujinshi,同人志
dove,白鸽
downblouse,胸部走光
dowsing_rod,占星杖
doyagao,得意脸
d-pad,方向键
d-pad_hair_ornament,方向键发饰
dragging,角色在拖某物
dragon,龙
dragon_girl,龙娘
dragon_horns,龙角
dragon_tail,龙尾
dragon_wings,龙翼
dragonfly,蜻蜓
draph,牛角族
drawer,抽屉
drawing,绘画
drawing_bow,拉弓
drawing_tablet,手绘板
drawr,源drawr不可寻
drawstring,衣服的抽绳
dreaming,做梦
dress_bow,连衣裙上的蝴蝶结
dress_lift,掀起裙子
dress_pull,剥下裙子胸口的部分
dress_removed,脱下裙子
dress_shirt,西服衬衫
dress_tug,压住裙摆
dressing,穿衣
dressing_another,着装
drill,钻头
drink,饮料
drinking,喝
drinking_glass,酒杯
drinking_straw,吸管
dripping,液体滴落
driving,驾驶
drone,无人机
drooling,流口水
drop_shadow,立绘阴影
dropping,(意外)掉落
drugs,药物
drum,鼓
drum_(container),桶(容器)
drum_set,架子鼓
drumsticks,鼓槌
drying,弄干(浴后)
drying_hair,弄干头发
dual_persona,双重人格
dual_wielding,双持
duck,鸭子
dudou,肚兜
duel,决斗
duel_monster,游戏王决斗怪兽
duffel_bag,行李包
duffel_coat,粗呢大衣
dumbbell,哑铃
dusk,黄昏
dust,灰尘
dust_cloud,烟尘
duster,掸子
dutch_angle,德式倾斜镜头
dvd_cover,DVD封面
eagle,鹰
ear_biting,咬耳朵
ear_blush,耳红
ear_piercing,穿耳洞
ear_protection,护耳罩
ear_tag,耳标
earbuds,耳塞
earmuffs,耳罩
earphones,耳机
ears,多双耳朵
ears_down,下垂的耳朵
ears_through_headwear,为耳朵留洞的头饰
easel,画架
east_asian_architecture,东方风格建筑
easter_egg,复活节彩蛋
eastern_dragon,东方龙
eating,咀嚼
egasumi,工霞
egg,蛋
eggplant,茄子
egyptian,埃及
egyptian_clothes,埃及风格服饰
ehoumaki,惠方卷
eighth_note,八分音符
ejaculation,射精
elbow_gloves,长手套
elbow_pads,护肘
electric_fan,电风扇
electric_guitar,电吉他
electric_socket,插座
electricity,电
elephant,大象
elf,精灵
elite_four,四天王
ema,绘马
embarrassed,害羞
embellished_costume,经润饰的服装
embers,余烬
emblem,纹章
emerald_(gemstone),翡翠(宝石)
emphasis_lines,集中线
empty_eyes,空洞的眼神
energy_ball,能量球
energy_gun,镭射枪
energy_sword,光剑
english_text,英语
engrish_text,L和R不分的英文
enmaided,女仆装
enpera,(围巾束成的)乌贼鳍发型
envelope,信封
epaulettes,肩章
epic,壮丽且经典的故事(的同人)
eraser,橡皮擦
erect_clitoris,膨胀的阴核
erection,勃起
erection_under_clothes,老二立帐篷
eromanga,色情漫画
error,有问题的作画
erune,兽耳族
evening,傍晚
evening_gown,晚会礼服
everyone,集合绘
evil_grin,邪恶的露齿笑
evil_smile,邪恶的笑容
excessive_cum,超大的射精量
excessive_pubic_hair,极浓密的阴毛
exercise,做运动
exhibitionism,露出
explosion,爆炸
explosive,易爆的
expression_chart,角色的多表情展示
expressive_clothes,富有表现力的衣服
expressive_hair,富有表现力的头发
extra,衍生角色(形象)
extra_arms,多只手臂
extra_ears,四只耳朵
extra_eyes,多只眼睛
extra_mouth,有多张嘴巴
eye_contact,眼神交流
eye_of_horus,荷鲁斯之眼
eyeball,眼球
eyebrows,眉毛
eyebrows_behind_hair,挡在头发下的眉毛
eyebrows_visible_through_hair,透过头发可以看到的眉毛
eyelashes,睫毛
eyeliner,眼线
eyepatch_bikini,眼罩比基尼
eyepatch_removed,摘眼罩
eyes,眼睛
eyes_visible_through_hair,透过头发可以看到的眼睛
eyeshadow,眼影
eyewear_on_head,眼镜别在头上
eyewear_removed,摘眼镜
face,脸部
faceless,没有脸部细节的
faceless_female,无脸部女性
facepalm,以手掩面
face-to-face,脸贴脸
facial_hair,胡须
facial_mark,脸部有图案
facial_tattoo,脸部有纹身
facing_another,二人面对面(脸贴得很近)
facing_away,面向别处
facing_viewer,面向镜头
failure,失败
fairy,小妖精
fairy_wings,妖精的翅膀
fake_animal_ears,仿制的动物耳朵
fake_cover,(同人向玩梗向的)封面
fake_facial_hair,假胡须
fake_horns,装饰性的角
fake_mustache,假胡子
fake_screenshot,(同人向玩梗向的)截图
fake_tail,仿造的尾巴
fake_wings,仿造的翅膀
falchion_(fire_emblem),法尔西昂(火焰之纹章)
fallen_down,倒地的
falling,正在下坠的
falling_leaves,落叶
falling_petals,落花
family,一家子
family_crest,家徽
fan,扇子|电风扇
fang,虎牙
fang_out,露出虎牙|露出尖牙
fanny_pack,腰包
fantasy,幻想
fashion,时尚
fat,肥胖的|大号美女
fat_man,胖子
fat_mons,丰满的
father_and_daughter,父女
father_and_son,父子
faucet,水龙头
faulds,腹甲
faux_figurine,仿手办风格
faux_traditional_media,传统手绘风格
feather_boa,羽毛围巾
feathered_wings,羽翼
feathers,羽毛
feather-trimmed_sleeves,羽毛装饰的袖子
fedora,软呢帽
feeding,喂食
feet,脚
feet_out_of_frame,双脚不在图内
feet_up,翘起脚
fellatio_gesture,摆着口交的手势
female_orgasm,女性高潮
female_pervert,痴女
female_pov,女性视角
femdom,逆强奸
fence,栅栏
ferret,貂
ferris_wheel,摩天轮
festival,节日|祭典
fff_threesome,女女女3P
ffm_threesome,女女男3P
fictional_persona,原创人物
field,田野
fiery_wings,燃烧着的翅膀
fighter_jet,战斗机
fighting,战斗中的
fighting_stance,战斗姿态|摆着架势的
figure,手办
film_grain,胶片颗粒感|老电影滤镜
fine_fabric_emphasis,精细的面料感|超还原的丝袜
finger_biting,咬手指
finger_in_another's_mouth,口内指交
finger_in_mouth,手指伸进嘴里
finger_on_trigger,准备扣扳机的手势
finger_sucking,吮吸手指
finger_to_mouth,手抵在嘴唇边
fingering,指交
fingering_through_clothes,手指隔着衣物摸来摸去
fingernails,指甲
fingers,手指
fingers_together,手指并拢
fins,鱼鳍
fire,火
fireflies,萤火虫
fireplace,壁炉
fireworks,烟花
firing,射击
fish,鱼
fish_girl,鱼人
fish_hair_ornament,鱼形发饰
fish_print,鱼形印花
fisheye,鱼眼镜头
fishing,钓鱼
fishing_rod,钓鱼竿
fishnet_legwear,渔网袜
fishnets,渔网装(袜)
flaccid,未勃起的
flag,旗
flag_print,旗帜印花
flail,梿枷
flame,火焰
flame_print,火焰图案
flaming_eye,焰目
flapping,拍打动作
flashback,回忆场景
flashing,露出
flashlight,手电筒
flask,烧瓶
flat_ass,贫瘠的屁股
flat_cap,平顶帽|司机帽
flat_chest,平胸|贫乳(A)
flat_chest_grab,抓着贫乳
flat_color,平涂风格
flats,无背景|平铺的背景
fleeing,在逃跑的
fleur_de_lapin_uniform,点兔女仆装
flexible,柔韧性好的
flexing,秀肌肉
flip_phone,翻盖手机
flip-flops,人字拖
flipped_hair,外卷发型
floating,浮动的|在漂浮的
floating_hair,飘动的头发
floating_island,浮岛
floating_object,漂浮物
flock,悠远|恢弘感|一大群
floor,地板
floppy_ears,大耳朵|下垂的耳朵|飞机耳发型
floral_background,花朵点缀的背景|有花香的感觉
floral_print,花朵图案(印花)
flower,花
flower_(symbol),花(符号)
flower_bracelet,花手镯
flower_earrings,花耳环
flower_field,花田
flower_knot,绳结
flower_necklace,花环|鲜花项链
fluffy,毛茸茸的
flustered,慌乱的
flute,笛
flying,飞行
flying_kick,飞踢
flying_sweatdrops,飞扬的汗珠
foam,泡沫
fog,雾
folded,抬腿露阴
folded_ponytail,蜷起来的马尾
folding_chair,折叠椅
folding_fan,扇子
food,食物
food_in_mouth,嘴里有食物
food_on_body,身体上有食物
food_on_face,脸上有食物
food_print,食物印花
food_stand,食品摊
foot_out_of_frame,单脚不在图内
footprints,脚印
forced_orgasm,强制高潮
forehead,额头
forehead_jewel,额前有宝石
forehead_kiss,亲吻额头
forehead_mark,额前有图案
forehead_protector,护额
forehead-to-forehead,额头贴额头
foreshortening,正前缩距透视法
foreskin,包皮
fork,餐叉
formal,正装
fountain,喷泉
four-leaf_clover,四叶草
fourth_wall,虚实穿插|连接到现实的感觉|次元壁
fox,狐狸
fox_girl,狐娘
fox_mask,狐狸面具
fox_shadow_puppet,狐狸手势
fox_tail,狐狸尾巴
framed_breasts,极具立体感的乳房
freckles,雀斑
freediving,潜水(泳姿不限)
french_braid,法式辫子
french_flag,法国国旗
french_fries,炸薯条
french_kiss,舌吻
french_text,法文
fried_egg,煎蛋|荷包蛋
friends,朋友
frilled_apron,花边围裙
frilled_bikini,花边比基尼
frilled_bow,花边蝴蝶结
frilled_bra,花边胸罩
frilled_capelet,花边披肩
frilled_choker,花边项圈
frilled_collar,花边衣领
frilled_dress,花边连衣裙
frilled_gloves,花边手套
frilled_hairband,花边发带
frilled_kimono,花边和服
frilled_legwear,花边的裤袜
frilled_panties,花边内裤
frilled_ribbon,花边缎带
frilled_shirt,花边衬衫
frilled_shirt_collar,花边衬衫领
frilled_skirt,花边裙子
frilled_sleeves,花边袖子
frilled_swimsuit,花边泳衣
frills,花边
fringe_trim,碎边饰物|边缘装饰物
frog,青蛙
frog_girl,青蛙娘
frog_hair_ornament,青蛙发饰
from_above,俯视镜头
from_behind,背影
from_below,仰视镜头
from_outside,室外看向室内(的镜头)
from_side,角色的侧面
front_ponytail,束在正面的马尾
front_zipper_swimsuit,拉链在正面的泳衣
front-print_panties,正面有图案的内裤
front-tie_bikini,从正面打结的比基尼
front-tie_top,从正面打结的衣物
frottage,摩擦性器官|用性器官摩擦别人的身体
frozen,被冻住的
fruit,水果
frying_pan,平底锅
fucked_silly,被肏到恍惚|被干得不要不要
full_armor,穿着全套盔甲的
full_body,全身|画出了全身
full_nelson,双肩下握颈体位
full-face_blush,整张脸泛红
full-length_zipper,有整件衣物长的拉链
full-package_futanari,有完整两性器官的扶她
fume,气得冒烟(含一定漫画元素)
fundoshi,兜裆布
fur,毛皮
fur_boots,矮跟休闲皮草靴
fur_coat,毛皮大衣
fur_collar,毛皮衣领
fur_hat,毛皮帽子
fur_trim,皮草款式|毛皮镶边
furisode,振袖
furry,毛茸茸|兽人|福瑞
fur-trimmed_boots,皮草靴
fur-trimmed_cape,毛皮镶边斗篷
fur-trimmed_capelet,毛皮装饰披肩
fur-trimmed_coat,镶边皮草大衣
fur-trimmed_dress,毛皮镶边连衣裙
fur-trimmed_gloves,毛皮镶边手套
fur-trimmed_hood,毛皮镶边风帽
fur-trimmed_jacket,皮草夹克
fur-trimmed_legwear,皮草修身长裤
fur-trimmed_skirt,毛皮镶边短裙
fur-trimmed_sleeves,毛皮镶边袖子
fusion,融合|合体
futa_with_female,扶她和女性
futa_with_futa,两个扶她
futa_with_male,扶她和男性
futanari,扶她
futasub,干扶她|玩弄扶她
futon,被窝
fuuin_no_tsue,封印之杖
gagged,被塞口的
gakuran,学兰
game_console,游戏机
game_controller,游戏控制器
gamepad,游戏手柄
gameplay_mechanics,(融入了)游戏机制元素
ganguro,黑皮
gap_(touhou),隙间(东方)
gaping,敞开的|撑开的(阴部和屁眼)
garden,花园
garreg_mach_monastery_uniform,加尔格·马可大修道院制服
garrison_cap,船形帽|卫戍帽|军便帽
garter_belt,吊带袜的腰带
garter_straps,吊带袜的吊带
garters,吊带袜的袜带
gas_mask,防毒面具
gate,门
gathers,褶裥(衣物)
gatling_gun,加特林机枪
gauntlets,护腕
gears,齿轮
gem,宝石
gem_uniform_(houseki_no_kuni),宝石之国的制服
gen_1_pokemon,第1代口袋妖怪
gen_2_pokemon,第2代口袋妖怪
gen_3_pokemon,第3代口袋妖怪
gen_4_pokemon,第4代口袋妖怪
gen_5_pokemon,第5代口袋妖怪
